City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,pregradnaya,43.9508,41.1994,11.58,84,100,1.53,RU,1715081459
119,arraial do cabo,-22.9661,-42.0278,23.98,78,0,5.14,BR,1715081373
120,kudat,6.8837,116.8477,29.96,84,29,3.09,MY,1715081459
121,imeko,7.45,2.85,36.3,41,73,1.6,NG,1715081459
122,ostersund,63.1792,14.6357,8.25,57,0,2.57,SE,1715081459
123,enewetak,11.3474,162.3373,27.87,79,92,7.71,MH,1715081460
124,sitka,57.0531,-135.33,5.94,81,100,4.63,US,1715081557
125,vorkuta,67.5,64.0,-6.05,80,74,4.02,RU,1715081481
126,egilsstadir,65.2653,-14.3948,9.95,50,20,8.75,IS,1715081481
127,iqaluit,63.7506,-68.5145,-7.15,73,0,9.77,CA,1715081412
128,san julian,21.0167,-102.1667,16.93,22,86,1.41,MX,1715081481
129,gondar,12.6,37.4667,30.12,13,21,6.69,ET,1715081481
130,ust-nera,64.5667,143.2,-0.25,87,27,2.45,RU,1715081482
131,sisimiut,66.9395,-53.6735,-4.47,66,34,2.4,GL,1715081482
132,hadibu,12.65,54.0333,31.42,63,24,1.07,YE,1715081482
133,enshi,30.3,109.4833,20.32,93,81,0.73,CN,1715081482
134,east london,-33.0153,27.9116,37.52,16,0,5.66,ZA,1715081482
135,chebba,35.2372,11.115,22.41,64,100,6.24,TN,1715081482
136,hami,42.8,93.45,33.18,9,57,2.62,CN,1715081483
137,mont-tremblant,46.1949,-74.6264,7.98,100,3,0.0,CA,1715081400
138,margaret river,-33.95,115.0667,17.08,52,86,3.99,AU,1715081483
139,zhezqazghan,47.7833,67.7667,24.32,31,75,5.0,KZ,1715081483
140,shirpur,21.35,74.8833,41.18,13,0,5.77,IN,1715081483
141,belmonte,-15.8631,-38.8828,28.79,65,2,4.34,BR,1715081483
142,bayanhongor,46.7167,100.1167,15.92,19,38,3.25,MN,1715081483
143,mimizan,44.2006,-1.2289,18.69,80,50,6.86,FR,1715081484
144,shingu,33.7333,135.9833,17.35,74,100,2.69,JP,1715081484
145,zaozersk,69.4005,32.4476,-0.43,72,64,7.38,RU,1715081484
146,pandan,14.0453,124.1694,27.24,80,6,3.42,PH,1715081484
147,utrik,11.2278,169.8474,28.03,74,86,7.59,MH,1715081484
148,georgetown,5.4112,100.3354,31.64,70,20,3.6,MY,1715081338
149,trinity beach,-16.7888,145.6968,24.94,78,40,5.14,AU,1715081484
150,sangkhla buri,15.1555,98.4536,26.67,76,57,2.05,TH,1715081485
151,minas de marcona,-15.2119,-75.1103,14.01,88,66,3.9,PE,1715081485
152,gadzhiyevo,69.2551,33.3362,-0.22,72,62,7.75,RU,1715081485
153,lorengau,-2.0226,147.2712,27.21,84,98,2.19,PG,1715081485
154,fruita,39.1589,-108.729,6.4,67,81,1.34,US,1715081464
